(i -FV)/(OV-FV),SZZ0,Actual
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,Yes,No
0,No,No
1,Yes,Yes
2,No,Yes
3,No,No
4,No,No
5,No,No
6,No,No
7,No,No
8,No,No
9,No,No
10,No,No
11,No,No
12,No,No
13,No,No
14,No,No
15,No,No
16,No,No
17,No,No
18,No,No
19,No,No
20,No,No
21,No,No
22,No,No
23,No,No
24,No,No
0,No,No
1,Yes,Yes
2,Yes,No
3,No,No
4,No,No
5,No,No
6,No,No
7,No,No
8,No,No
9,No,No
10,No,No
11,No,No
12,No,No
13,No,No
14,No,No
15,No,No
16,No,No
17,No,No
18,No,No
19,No,No
20,No,No
21,No,No
22,No,No
23,No,No
0,No,No
1,Yes,Yes
2,Yes,Yes
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,Yes,No
15,Yes,No
16,Yes,No
17,Yes,No
18,Yes,No
19,Yes,No
20,Yes,No
21,Yes,No
22,Yes,No
23,Yes,No
24,Yes,No
0,No,No
1,Yes,Yes
2,Yes,No
3,Yes,No
4,Yes,No
5,Yes,No
6,Yes,No
7,Yes,No
8,Yes,No
9,Yes,No
10,Yes,No
11,Yes,No
12,Yes,No
13,Yes,No
14,Yes,No
15,Yes,No
16,Yes,No
17,Yes,No
18,Yes,No
19,Yes,No
20,Yes,No
21,Yes,No
22,No,No
23,No,No
0,No,No
1,Yes,Yes
2,Yes,No
3,No,No
4,No,No
5,No,No
6,No,No
7,No,No
8,No,No
9,No,No
10,No,No
11,No,No
12,No,No
13,No,No
14,No,No
15,No,No
16,No,No
17,No,No
18,No,No
19,No,No
20,No,No
21,No,No
22,No,No
23,No,No
0,No,No
1,Yes,Yes
2,Yes,No
3,No,No
4,No,No
5,No,No
6,No,No
7,No,No
8,No,No
9,No,No
10,No,No
11,No,No
12,No,No
13,No,No
14,No,No
15,No,No
16,No,No
17,No,No
18,No,No
19,No,No
20,No,No
21,No,No
22,No,No
23,No,No
0,No,No
0.083333333,Yes,Yes
0.166666667,Yes,Yes
0.25,Yes,Yes
0.333333333,Yes,Yes
0.416666667,Yes,Yes
0.5,Yes,Yes
0.583333333,Yes,Yes
0.666666667,Yes,Yes
0.75,Yes,Yes
0.833333333,Yes,Yes
0.916666667,Yes,Yes
1,Yes,Yes
1.083333333,Yes,Yes
1.166666667,Yes,No
1.25,Yes,No
1.333333333,Yes,No
1.416666667,Yes,No
1.5,Yes,No
1.583333333,Yes,No
1.666666667,No,No
1.75,No,No
